ruleset_id,campaign_id,ruleset_version,activated_on
acme-winback-rs1,acme-winback,1,2025-01-01
acme-winback-rs2,acme-winback,2,2026-01-01
acme-loyalty-tier-rs1,acme-loyalty-tier,1,2025-01-01
acme-loyalty-tier-rs2,acme-loyalty-tier,2,2026-01-01
acme-basket-boost-rs1,acme-basket-boost,1,2025-01-01
acme-basket-boost-rs2,acme-basket-boost,2,2026-01-01
nord-seasonal-rs1,nord-seasonal,1,2025-01-01
nord-seasonal-rs2,nord-seasonal,2,2026-01-01
nord-coupon-drop-rs1,nord-coupon-drop,1,2025-01-01
nord-coupon-drop-rs2,nord-coupon-drop,2,2026-01-01
fast-free-ship-rs1,fast-free-ship,1,2025-01-01
fast-free-ship-rs2,fast-free-ship,2,2026-01-01
fast-points-launch-rs1,fast-points-launch,1,2025-01-01
fast-points-launch-rs2,fast-points-launch,2,2026-01-01
bright-weekly-rs1,bright-weekly,1,2025-01-01
bright-weekly-rs2,bright-weekly,2,2026-01-01
bright-notify-rs1,bright-notify,1,2025-01-01
bright-notify-rs2,bright-notify,2,2026-01-01
